"","Name","Cluster","Percent_Change","Symbol","Industry"
"274","HONG FOK CORPORATION LTD",4,0.803212851405605,"H30.SI","Real Estate"
"275","IPCO INT'L LIMITED",4,2.22222222222222,"I11.SI","Utilities"
"276","JADASON ENTERPRISES LTD",4,4.95867768595042,"J03.SI","Information Technology"
"277","KOH BROTHERS ECO ENGG LIMITED",4,1.58730158730159,"5HV.SI","Industrials"
"278","LIAN BENG GROUP LTD ",4,2.4390243902439,"L03.SI","Industrials"
"279","LTC CORPORATION LIMITED ",4,0.543478260869566,"L17.SI","Materials"
"280","M1 LIMITED ",4,0,"B2F.SI","Telecommunications"
"281","MALAYSIA SMELTING CORP BHD 100",4,5.71428571428572,"NC9.SI","Materials"
"282","METECH INTERNATIONAL LIMITED ",4,8.08080808080809,"QG1.SI","Industrials"
"283","METRO HOLDINGS LIMITED ",4,2.32558139534884,"M01.SI","Consumer Discretionary"
"284","MIDAS HLDGS LIMITED ",4,8.06451612903227,"5EN.SI","Materials"
"285","MULTI-CHEM LIMITED",4,4.41176470588235,"AWZ.SI","Information Technology"
"286","NEW WAVE HOLDINGS LTD.",4,59.6385542168675,"5FX.SI","Industrials"
"287","OKH GLOBAL LTD.",4,2.08333333333334,"S3N.SI","Industrials"
"288","OSSIA INTERNATIONAL LTD",4,-5.67375886524821,"O08.SI","Consumer Discretionary"
"289","OUE LIPPO HEALTHCARE LTD",4,1.81818181818182,"5WA.SI","Healthcare"
"290","OUHUA ENERGY HOLDINGS LIMITED",4,7.14285714285714,"AJ2.SI","Energy"
"291","PAN-UNITED CORPORATION LTD",4,-4.73684210526316,"P52.SI","Industrials"
"292","PLASTOFORM HOLDINGS LIMITED",4,9.52380952380951,"AYD.SI","Consumer Discretionary"
"293","PROCURRI CORPORATION LIMITED ",4,1.51515151515152,"BVQ.SI","Information Technology"
"294","QIAN HU CORPORATION LIMITED ",4,-2.17391304347826,"BCV.SI","Consumer Discretionary"
"295","RAMBA ENERGY LIMITED ",4,2.01729106628242,"R14.SI","Industrials"
"296","RIVERSTONE HOLDINGS LIMITED",4,17.9487179487179,"AP4.SI","Industrials"
"297","SAMKO TIMBER LIMITED ",4,0.675675675675676,"E6R.SI","Materials"
"298","SAMUDERA SHIPPING LINE LTD ",4,4.25531914893617,"S56.SI","Industrials"
"299","SATS LTD. ",4,8.7979094076655,"S58.SI","Industrials"
"300","SILVERLAKE AXIS LTD",4,16.5354330708661,"5CP.SI","Information Technology"
"301","SINGAPORE POST LIMITED ",4,9.75609756097562,"S08.SI","Industrials"
"302","SINGAPORE TECH ENGINEERING LTD",4,2.68456375838926,"S63.SI","Industrials"
"303","STAR PHARMACEUTICAL LIMITED ",4,-3.92156862745098,"AYL.SI","Healthcare"
"304","STRACO CORPORATION LIMITED ",4,4.76190476190477,"S85.SI","Consumer Discretionary"
"305","TIH LIMITED ",4,0,"T55.SI","Financials"
