Name,Symbol,Industry
PAN ASIAN HOLDINGS LIMITED ,5EW.SI,Industrials
"PAN OCEAN CO., LTD.",AZY.SI,Industrials
PAN-UNITED CORPORATION LTD,P52.SI,Industrials
PEC LTD. ,IX2.SI,Industrials
PENGUIN INTERNATIONAL LIMITED ,BTM.SI,Industrials
PROGEN HOLDINGS LTD ,583.SI,Industrials
PS GROUP HOLDINGS LTD. ,5WD.SI,Industrials
PSL HOLDINGS LTD,BLL.SI,Industrials
RAFFLES UNITED HOLDINGS LTD.,K22.SI,Industrials
RAMBA ENERGY LIMITED ,R14.SI,Industrials
RIVERSTONE HOLDINGS LIMITED,AP4.SI,Industrials
RYOBI KISO HOLDINGS LTD.,BDN.SI,Industrials
SAMUDERA SHIPPING LINE LTD ,S56.SI,Industrials
SANLI ENVIRONMENTAL LIMITED ,1E3.SI,Industrials
SANTAK HOLDINGS LIMITED ,580.SI,Industrials
SAPPHIRE CORPORATION LIMITED ,BRD.SI,Industrials
SARINE TECHNOLOGIES LTD,U77.SI,Industrials
SATS LTD. ,S58.SI,Industrials
SBI OFFSHORE LIMITED ,5PL.SI,Industrials
SBS TRANSIT LTD,S61.SI,Industrials
SECURA GROUP LIMITED ,43B.SI,Industrials
SEMBCORP INDUSTRIES LTD,U96.SI,Industrials
SEMBCORP MARINE LTD ,S51.SI,Industrials
SEN YUE HOLDINGS LIMITED ,5BS.SI,Industrials
SEROJA INVESTMENTS LIMITED ,IW5.SI,Industrials
SERRANO LIMITED,40R.SI,Industrials
SHANGHAI TURBO ENTERPRISES LTD,AWM.SI,Industrials
SHINVEST HOLDING LTD. ,BJW.SI,Industrials
SIA ENGINEERING CO LTD ,S59.SI,Industrials
SIN GHEE HUAT CORPORATION LTD.,B7K.SI,Industrials
SIN HENG HEAVY MACHINERY LTD,BKA.SI,Industrials
SINCAP GROUP LIMITED ,5UN.SI,Industrials
SINGAPORE AIRLINES LTD ,C6L.SI,Industrials
SINGAPORE EDEVELOPMENT LTD,40V.SI,Industrials
SINGAPORE KITCHEN EQUIPMENTLTD,5WG.SI,Industrials
